Client,Origine,Sexe,Taille,Pointure,Poids,Temps,Marque,Montant
Willard,Mars,M,9,26,50,28,Marque A,153
Derrick,Pluton,M,102,40,335,39,Marque D,229
Olivia,Mars,F,13,31,68,29,Marque A,118
Marc,Mars,M,20,29,81,40,Marque C,160
Alice,Pluton,F,116,33,378,11,Marque B,248
Elijah,Mars,M,22,30,88,44,Marque C,137
Clyde,Mars,M,27,29,105,42,Marque C,142
Angel,Mars,F,31,28,116,51,Marque A,151
Randy,Terre,M,4,29,36,18,Marque A,174
Robin,Terre,M,5,33,40,40,Marque C,123
Elias,Pluton,M,107,32,340,15,Marque C,257
Stanley,Mars,M,37,31,133,23,Marque A,148
Max,Terre,M,6,26,43,24,Marque C,122
Dewey,Mars,M,33,28,123,32,Marque B,166
Henry,Terre,M,4,34,39,49,Marque B,140
Sara,Pluton,F,91,29,296,11,Marque B,246
Lynn,Pluton,F,80,31,264,16,Marque D,192
Ira,Terre,F,3,27,29,43,Marque A,146
Blake,Pluton,M,100,24,315,14,Marque D,214
Freda,Pluton,F,101,28,331,15,Marque A,229
Kenneth,Mars,M,19,33,84,36,Marque C,153
Kerry,Terre,M,4,36,38,46,Marque C,132
Shaun,Terre,M,7,22,41,18,Marque C,176
Victoria,Pluton,F,116,27,369,4,Marque C,258
Monique,Pluton,F,106,24,333,29,Marque C,252
Deborah,Terre,F,3,29,33,37,Marque A,137
Eric,Mars,M,22,32,89,29,Marque D,142
Sonia,Terre,F,2,27,24,29,Marque C,152
Enrique,Terre,M,4,32,39,47,Marque A,158
Leticia,Pluton,F,111,29,356,21,Marque A,217
